ProductId,TagId
P473671,1
P473671,2
P473671,3
P473668,4
P473668,5
P473668,6
P473668,7
P473668,8
P473662,9
P473662,10
P473662,6
P473662,7
P473662,8
P473660,11
P473660,6
P473660,7
P473660,8
P473658,12
P473658,13
P473658,6
P473658,7
P473658,8
P473661,11
P473661,6
P473661,7
P473661,8
P473661,14
P473661,15
P473659,12
P473659,13
P473659,6
P473659,7
P473659,8
P473659,14
P473659,15
P473666,16
P473666,17
P473666,6
P473666,7
P473666,8
P472300,18
P472300,6
P472300,7
P472300,8
P473667,16
P473667,17
P473667,6
P473667,7
P473667,8
P473667,14
P473667,15
P473663,9
P473663,10
P473663,6
P473663,7
P473663,8
P473663,14
P473663,15
P473670,18
P473670,6
P473670,7
P473670,8
P473670,14
P473670,15
P473664,19
P473664,20
P473664,6
P473664,7
P473664,8
P473665,19
P473665,20
P473665,6
P473665,7
P473665,8
P473665,14
P473665,15
P476416,21
P476416,22
P476416,24
P476416,25
P476416,26
P476416,27
P476418,21
P476418,22
P476418,23
P476418,29
P476418,30
P476418,3
P476417,21
P476417,22
P476417,23
P476417,31
P476417,32
P476417,33
P503832,29
P503832,21
P503832,22
P503832,24
P503832,25
P503832,26
P503832,27
P483068,34
P483068,35
P483068,3
P483139,36
P483139,37
P483080,38
P483080,39
P483080,37
P483080,14
P483080,15
P483079,38
P483079,39
P483079,37
P483131,40
P483131,6
P483131,7
P483131,8
P483131,14
P483131,15
P483130,41
P483130,37
P483108,42
P483108,37
P483108,14
P483108,15
P483140,36
P483140,37
P483140,14
P483140,15
P483072,43
P483072,44
P483072,6
P483072,7
P483072,8
P483072,14
P483072,15
P483071,43
P483071,44
P483071,6
P483071,7
P483071,8
P483110,45
P483110,37
P483110,14
P483110,15
P483109,45
P483109,37
P483107,42
P483107,37
P443401,46
P443401,47
P443401,29
P443401,6
P443401,7
P443401,48
P443401,3
P307804,49
P307804,50
P307804,51
P375388,52
P375388,50
P375388,18
P163604,53
P252213,54
P252213,55
P456550,56
P456550,6
P456550,7
P456550,8
P377678,57
P377678,6
P377678,7
P377678,8
P269110,53
P269110,58
P448830,59
P448830,60
P380571,53
P380571,63
P422289,53
P422289,64
P471525,52
P471525,50
P471525,18
P471525,65
P471526,66
P471526,50
P471526,67
P471526,65
P460438,68
P460438,69
P460438,60
P448828,70
P448828,50
P448828,53
P448828,60
P457232,71
P457232,72
P457232,73
P457232,27
P474806,74
P474806,75
P474806,76
P474806,77
P457233,71
P457233,78
P457233,73
P457233,79
P474808,74
P474808,75
P474808,78
P474808,73
P474808,79
P457234,71
P457234,80
P457234,81
P474804,74
P474804,75
P474804,82
P474804,83
P474804,81
P481372,84
P481372,85
P481372,86
P481372,87
P457237,71
P457237,88
P457237,90
P457237,91
P457237,92
P457236,71
P457236,80
P457236,93
P457236,94
P457236,95
P474807,74
P474807,75
P474807,27
P474807,96
P457235,71
P457235,80
P457235,93
P457235,94
P457235,83
P474805,74
P474805,75
P474805,76
P474805,87
P473150,29
P473150,71
P473150,72
P473150,73
P473150,27
P473151,29
P473151,71
P473151,32
P473151,14
P473151,97
P473154,29
P473154,71
P473154,80
P473154,93
P473154,94
P473154,83
P473153,29
P473153,71
P473153,80
P473153,93
P473153,94
P473153,95
P473152,29
P473152,71
P473152,73
P473152,79
P473155,29
P473155,71
P473155,80
P473155,81
P473156,29
P473156,71
P473156,88
P473156,90
P473156,91
P473156,92
P398965,98
P398965,99
P398965,87
P405269,100
P405269,101
P405273,100
P405273,101
P405273,6
P405273,7
P405273,8
P405273,14
P405273,15
P388770,102
P388770,103
P398823,102
P398823,103
P398823,6
P398823,7
P398823,8
P398823,14
P398823,15
P428454,104
P428454,105
P428454,6
P428454,7
P428454,8
P388762,106
P388762,107
P388766,108
P388766,109
P395768,110
P395768,111
P433906,98
P433906,7
P433906,113
P433901,106
P433901,107
P433901,14
P433901,15
P454826,114
P454826,115
P454826,14
P454826,15
P410846,116
P410846,117
P460780,104
P460780,105
P460780,6
P460780,7
P460780,8
P460780,14
P460780,15
P481055,100
P481055,101
P481055,118
P481055,6
P481055,7
P481055,8
P454825,114
P454825,115
P442516,29
P442516,119
P442516,120
P442516,6
P442516,7
P442516,8
P442516,14
P442516,15
P442515,119
P442515,120
P442515,6
P442515,7
P442515,8
P475043,121
P475043,122
P475043,6
P475043,7
P475043,8
P475043,14
P475043,15
P504777,37
P504777,35
P504777,2
P504777,3
P475042,121
P475042,122
P475042,6
P475042,7
P475042,8
P504686,100
P504686,101
P504686,123
P471527,98
P471527,7
P471527,113
P471527,124
P471527,125
P471527,6
P471527,7
P471527,8
P481056,100
P481056,101
P481056,118
P481056,6
P481056,7
P481056,8
P481056,14
P481056,15
P439055,126
P439055,127
P439055,128
P439055,129
P421277,126
P421277,130
P421277,128
P421277,96
P467602,131
P467602,132
P467602,133
P467602,134
P467602,135
P467602,133
P467602,95
P432045,126
P432045,130
P432045,128
P432045,99
P432045,27
P311143,136
P311143,137
P311143,138
P311143,139
P311143,140
P311143,137
P311143,142
P311143,143
P311143,144
P384537,126
P384537,145
P384537,4752
P384537,95
P388200,126
P388200,145
P388200,4752
P388200,148
P388200,149
P296413,150
P296413,151
P296413,149
P500716,153
P500716,154
P500716,97
P379907,155
P379907,4752
P379907,156
P379907,91
P296415,157
P296415,158
P296415,95
P392945,126
P392945,145
P392945,4752
P392945,159
P392945,160
P392945,96
P282935,161
P282935,4752
P282935,129
P474809,74
P474809,132
P474809,159
P474809,162
P474809,163
P474809,164
P474809,96
P416552,165
P416552,166
P416552,167
P416552,168
P416552,96
P471000,132
P471000,169
P471000,170
P471000,171
P480274,126
P480274,130
P480274,26
P480274,172
P480274,174
P480274,175
P453818,126
P453818,128
P453818,176
P453818,177
P442859,178
P442859,179
P442859,180
P442859,77
P388262,126
P388262,145
P388262,4752
P388262,133
P388262,95
P457694,74
P457694,132
P457694,159
P457694,162
P457694,181
P457694,182
P457694,183
P457694,184
P447504,185
P447504,188
P447504,96
P404169,165
P404169,155
P404169,189
P404169,190
P404169,191
P404169,133
P404169,96
P404168,165
P404168,155
P404168,189
P404168,190
P404168,129
P449163,126
P449163,130
P449163,128
P449163,192
P449163,95
P433469,193
P433469,155
P433469,194
P433469,96
P420638,193
P420638,155
P420638,195
P420638,196
P420638,95
P456990,29
P456990,126
P456990,130
P456990,128
P410809,193
P410809,197
P410809,199
P410809,196
P410809,133
P410809,95
P442860,178
P442860,179
P442860,180
P442860,129
P442860,143
P449164,193
P449164,197
P449164,199
P449164,201
P449164,95
P504443,202
P504443,203
P504443,204
P503998,132
P503998,205
P503998,161
P503998,129
P440949,130
P440949,206
P440949,207
P440949,27
P440949,208
P440949,187
P442540,159
P442540,96
P442540,194
P442539,159
P442539,96
P442539,169
P442539,213
P442546,180
P442546,149
P442548,29
P442548,130
P442548,206
P442548,207
P442548,27
P442548,208
P442548,187
P442537,130
P442537,206
P442537,197
P442537,133
P442537,95
P480150,130
P480150,206
P480150,214
P480150,215
P480150,96
P480150,208
P480150,187
P442542,22
P442542,219
P442542,165
P442542,184
P442542,167
P442542,184
P442545,131
P442545,223
P442545,149
P455237,224
P455237,129
P455237,225
P455237,226
P465741,114
P465741,227
P465741,229
P465741,184
P465741,77
P472302,114
P472302,230
P472302,169
P472302,231
P472302,197
P472302,96
P455613,133
P455613,95
P455613,225
P455613,234
P503197,235
P503197,128
P503197,236
P503197,237
P503197,95
P503197,149
P477492,131
P477492,159
P477492,162
P477492,164
P477492,238
P477492,95
P477492,129
P455614,239
P455614,240
P455614,149
P455614,159
P455614,162
P455614,241
P455612,159
P455612,162
P455612,242
P455612,231
P455612,243
P455612,96
P483643,244
P483643,245
P483643,246
P483643,247
P483643,99
P483643,77
P505338,248
P505338,249
P505338,130
P505338,250
P505338,174
P505338,251
P481058,29
P481058,224
P481058,129
P481058,225
P481058,226
P483644,29
P483644,114
P483644,227
P483644,229
P483644,184
P483644,77
P503262,184
P503262,202
P503262,204
P378716,253
P378716,4752
P378716,254
P378716,170
P378716,255
P378716,95
P269705,253
P269705,4752
P269705,254
P269705,170
P269705,81
P269706,253
P269706,4752
P269706,254
P269706,170
