ProductId,TagId
P473671,1
P473671,4652
P473671,4686
P473668,1
P473668,3589
P473668,37
P473662,1
P473662,3589
P473662,37
P473660,1
P473660,3589
P473660,37
P473658,1
P473658,3589
P473658,37
P473661,1
P473661,3589
P473661,4688
P473659,1
P473659,3589
P473659,4688
P473666,1
P473666,3589
P473666,37
P472300,1
P472300,3589
P472300,37
P473667,1
P473667,3589
P473667,4688
P473663,1
P473663,3589
P473663,4688
P473670,1
P473670,3589
P473670,4688
P473664,1
P473664,3589
P473664,37
P473665,1
P473665,3589
P473665,4688
P476416,4644
P476416,4654
P476416,4689
P476418,4644
P476418,4652
P476417,4644
P476417,4652
P503832,4644
P503832,4654
P503832,4689
P483068,1
P483068,4652
P483068,4686
P483139,1
P483139,3589
P483139,37
P483080,1
P483080,3589
P483080,4688
P483079,1
P483079,3589
P483079,37
P483131,1
P483131,3589
P483131,4688
P483130,1
P483130,3589
P483130,37
P483108,1
P483108,3589
P483108,4688
P483140,1
P483140,3589
P483140,4688
P483072,1
P483072,3589
P483072,4688
P483071,1
P483071,3589
P483071,37
P483110,1
P483110,3589
P483110,4688
P483109,1
P483109,3589
P483109,37
P483107,1
P483107,3589
P483107,37
P443401,4645
P443401,1
P307804,1
P307804,3589
P307804,37
P375388,1
P375388,3589
P375388,37
P163604,1
P163604,1108
P163604,1742
P252213,1
P252213,3589
P252213,37
P456550,1
P456550,3589
P456550,37
P377678,1
P377678,1108
P377678,1742
P269110,1
P269110,1108
P269110,1742
P448830,1
P448830,4655
P448830,4691
P380571,4644
P380571,4656
P380571,4692
P422289,1
P422289,3589
P422289,37
P471525,1
P471525,4655
P471525,4693
P471526,1
P471526,4655
P471526,4693
P460438,1
P460438,4655
P460438,4691
P448828,1
P448828,4655
P448828,4691
P457232,85
P457232,4657
P457232,4694
P474806,85
P474806,4657
P474806,4694
P457233,85
P457233,4657
P457233,4695
P474808,85
P474808,4657
P474808,4695
P457234,85
P457234,4658
P457234,81
P474804,85
P474804,4658
P474804,81
P481372,85
P481372,4657
P481372,4695
P457237,85
P457237,4657
P457237,4697
P457236,85
P457236,4657
P457236,4698
P474807,85
P474807,4657
P474807,4699
P457235,85
P457235,4657
P457235,4698
P474805,85
P474805,4658
P474805,87
P473150,85
P473150,4645
P473151,85
P473151,4652
P473154,85
P473154,4645
P473153,85
P473153,4645
P473152,85
P473152,4645
P473155,85
P473155,4645
P473156,85
P473156,4645
P398965,514
P398965,99
P398965,4701
P405269,1
P405269,3589
P405269,37
P405273,1
P405273,3589
P405273,4688
P388770,1
P388770,3589
P388770,37
P398823,4645
P398823,1
P428454,1
P428454,3589
P428454,37
P388762,1
P388762,3589
P388762,37
P388766,1
P388766,3589
P388766,37
P395768,1
P395768,3589
P395768,37
P433906,1
P433906,3589
P433906,37
P433901,1
P433901,3589
P433901,4688
P454826,1
P454826,3589
P454826,4688
P410846,1
P410846,3589
P410846,37
P460780,1
P460780,3589
P460780,4688
P481055,1
P481055,3589
P481055,37
P454825,1
P454825,3589
P454825,37
P442516,1
P442516,3589
P442516,4688
P442515,1
P442515,3589
P442515,37
P475043,1
P475043,3589
P475043,4688
P504777,1
P504777,4652
P504777,4686
P475042,1
P475042,3589
P475042,37
P504686,1
P504686,3589
P504686,37
P471527,1
P471527,3589
P471527,37
P481056,1
P481056,3589
P481056,4688
P439055,907
P439055,4660
P421277,907
P421277,4661
P421277,4702
P467602,907
P467602,4662
P467602,4703
P432045,907
P432045,4663
P311143,907
P311143,754
P311143,4704
P384537,907
P384537,4660
P388200,907
P388200,4665
P388200,4705
P296413,907
P296413,4665
P296413,4705
P500716,907
P500716,4652
P379907,907
P379907,4660
P379907,4706
P296415,907
P296415,4660
P392945,907
P392945,4661
P392945,4702
P282935,907
P282935,4660
P474809,907
P474809,4661
P474809,4702
P416552,907
P416552,4661
P416552,4702
P471000,907
P471000,4660
P480274,907
P480274,4665
P480274,4707
P453818,907
P453818,4660
P442859,907
P442859,644
P442859,4708
P388262,907
P388262,4662
P388262,4703
P457694,907
P457694,4661
P457694,4709
P447504,907
P447504,4661
P447504,4702
P404169,907
P404169,4662
P404169,4703
P404168,907
P404168,4660
P449163,4644
P449163,4654
P449163,4710
P433469,907
P433469,4661
P433469,4702
P420638,907
P420638,4660
P456990,907
P456990,4645
P410809,907
P410809,4662
P410809,4703
P442860,907
P442860,4660
P449164,907
P449164,4660
P449164,4711
P504443,907
P504443,4652
P503998,907
P503998,4660
P440949,907
P440949,4661
P440949,4702
P442540,907
P442540,4661
P442540,4702
P442539,907
P442539,4661
P442539,4702
P442546,907
P442546,4665
P442546,4705
P442548,907
P442548,4645
P442537,907
P442537,4662
P442537,4703
P480150,907
P480150,4661
P480150,4702
P442542,907
P442542,4661
P442542,4709
P442545,907
P442545,4665
P442545,4705
P455237,907
P455237,4660
P465741,907
P465741,644
P465741,4708
P472302,907
P472302,4661
P472302,4702
P455613,907
P455613,4662
P455613,4703
P503197,907
P503197,4665
P503197,4705
P477492,907
P477492,4660
P455614,907
P455614,4665
P455614,4705
P455612,907
P455612,4661
P455612,4702
P483643,907
P483643,4663
P505338,907
P505338,4665
P505338,4712
P481058,907
P481058,4660
P483644,4645
P483644,907
P503262,907
P503262,4652
P378716,85
P378716,4657
P378716,4698
P269705,85
P269705,4658
P269705,81
P269706,85
P269706,4658
P269706,87
P309412,85
P309412,4657
P309412,4699
P405297,85
P405297,4657
P405297,4698
P419632,85
P419632,4657
P419632,4698
P269714,85
P269714,4657
P269714,4713
P428076,85
P428076,4657
P428076,4698
P309411,85
P309411,4658
P309411,81
P384770,85
P384770,4657
P384770,4697
P391910,85
P391910,4657
P391910,4699
P435932,85
P435932,4657
P435932,4698
P405298,85
P405298,4658
P405298,81
P441825,85
P441825,4657
P441825,4698
P435934,85
P435934,4657
P435934,4699
P410833,85
P410833,4657
P410833,4698
P435933,85
P435933,4657
P435933,4694
P374562,85
P374562,4657
P374562,4714
P405299,85
P405299,4658
P405299,87
P269707,85
P269707,4657
P269707,4694
P416598,85
P416598,4657
P416598,4698
P441826,85
P441826,4658
P441826,87
P405300,85
P405300,4657
P405300,4698
P448859,85
P448859,4657
P448859,4698
P435931,85
P435931,4657
P435931,4699
P416404,85
P416404,4658
P416404,81
P428074,85
P428074,4658
P428074,81
P441638,85
P441638,4657
P441638,4713
P428075,85
P428075,4658
P428075,87
P416403,85
P416403,4658
P416403,87
P479628,85
P479628,4657
P479628,4694
P463601,85
P463601,4658
P463601,81
P484022,85
P484022,4657
